name,firmware_variable,unit,printf_format,type_cast,xmit_scale,python_type,should_generate
"Don’t read this column, just for convenience/clarity",pt_cal_slope[0],mV/psi,%.4f,int32_t,10000,float,y
,pt_cal_slope[1],mV/psi,%.4f,int32_t,10000,float,y
,pt_cal_slope[2],mV/psi,%.4f,int32_t,10000,float,y
,pt_cal_slope[3],mV/psi,%.4f,int32_t,10000,float,y
,pt_cal_slope[4],mV/psi,%.4f,int32_t,10000,float,y
,pt_cal_slope[5],mV/psi,%.4f,int32_t,10000,float,y
,pt_cal_slope[6],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[7],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[8],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[9],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[10],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[11],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[12],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[13],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[14],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[15],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[16],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[17],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[18],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[19],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[20],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_slope[21],mV/psi,%.4f,int32_t,10000,float,n
,pt_cal_offset[0],mV,%d,int16_t,1,float,y
,pt_cal_offset[1],mV,%d,int16_t,1,float,y
,pt_cal_offset[2],mV,%d,int16_t,1,float,y
,pt_cal_offset[3],mV,%d,int16_t,1,float,y
,pt_cal_offset[4],mV,%d,int16_t,1,float,y
,pt_cal_offset[5],mV,%d,int16_t,1,float,y
,pt_cal_offset[6],mV,%d,int16_t,1,float,n
,pt_cal_offset[7],mV,%d,int16_t,1,float,n
,pt_cal_offset[8],mV,%d,int16_t,1,float,n
,pt_cal_offset[9],mV,%d,int16_t,1,float,n
,pt_cal_offset[10],mV,%d,int16_t,1,float,n
,pt_cal_offset[11],mV,%d,int16_t,1,float,n
,pt_cal_offset[12],mV,%d,int16_t,1,float,n
,pt_cal_offset[13],mV,%d,int16_t,1,float,n
,pt_cal_offset[14],mV,%d,int16_t,1,float,n
,pt_cal_offset[15],mV,%d,int16_t,1,float,n
,pt_cal_offset[16],mV,%d,int16_t,1,float,n
,pt_cal_offset[17],mV,%d,int16_t,1,float,n
,pt_cal_offset[18],mV,%d,int16_t,1,float,n
,pt_cal_offset[19],mV,%d,int16_t,1,float,n
,pt_cal_offset[20],mV,%d,int16_t,1,float,n
,pt_cal_offset[21],mV,%d,int16_t,1,float,n
