name,firmware_variable,unit,printf_format,type_cast,xmit_scale,python_type,should_generate
"Don’t read this column, just for convenience/clarity",pt_cal_slope[0],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[1],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[2],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[3],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[4],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[5],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[6],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[7],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[8],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[9],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[10],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[11],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[12],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[13],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[14],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[15],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[16],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[17],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[18],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[19],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[20],mV,%.3f,int32_t,10000,float,y
,pt_cal_slope[21],mV,%.3f,int32_t,10000,float,y
,pt_cal_offset[0],V,%d,int32_t,1,float,y
,pt_cal_offset[1],V,%d,int16_t,1,float,y
,pt_cal_offset[2],V,%d,int16_t,1,float,y
,pt_cal_offset[3],V,%d,int16_t,1,float,y
,pt_cal_offset[4],V,%d,int16_t,1,float,y
,pt_cal_offset[5],V,%d,int16_t,1,float,y
,pt_cal_offset[6],V,%d,int16_t,1,float,y
,pt_cal_offset[7],V,%d,int16_t,1,float,y
,pt_cal_offset[8],V,%d,int16_t,1,float,y
,pt_cal_offset[9],V,%d,int16_t,1,float,y
,pt_cal_offset[10],V,%d,int16_t,1,float,y
,pt_cal_offset[11],V,%d,int16_t,1,float,y
,pt_cal_offset[12],V,%d,int16_t,1,float,y
,pt_cal_offset[13],V,%d,int16_t,1,float,y
,pt_cal_offset[14],V,%d,int16_t,1,float,y
,pt_cal_offset[15],V,%d,int16_t,1,float,y
,pt_cal_offset[16],V,%d,int16_t,1,float,y
,pt_cal_offset[17],V,%d,int16_t,1,float,y
,pt_cal_offset[18],V,%d,int16_t,1,float,y
,pt_cal_offset[19],V,%d,int16_t,1,float,y
,pt_cal_offset[20],V,%d,int16_t,1,float,y
,pt_cal_offset[21],V,%d,int16_t,1,float,y
