Device,ID,Slope,Offset,Ambients,Type,Board
pt,0,0.494907924,404.1155743,0,float,3
pt,1,0.494907924,404.1155743,0,float,3
pt,2,0.494907924,404.1155743,0,float,3
pt,3,0.494907924,404.1155743,0,float,3
pt,4,0.494907924,404.1155743,0,float,3
pt,5,0.494907924,404.1155743,0,float,3
pt,6,1,0,0,float,0
pt,7,1,0,0,float,0
pt,8,1,0,0,float,0
pt,9,1,0,0,float,0
pt,10,1,0,0,float,0
pt,11,1,0,0,float,0
pt,12,1,0,0,float,0
pt,13,1,0,0,float,0
pt,14,1,0,0,float,0
pt,15,1,0,0,float,0
pt,16,1,0,0,float,0
pt,17,1,0,0,float,0
pt,18,1,0,0,float,0
pt,19,1,0,0,float,0
pot,20,0,0,0,float,3
pot,21,0,0,0,float,3
pot,22,0,0,0,float,3
pot,23,0,0,0,float,3
